Customer ID,Customer Name,Customer Address,Customer Industrial Sector
1,Acme Corporation,"123 Elm St, Springfield, IL",Manufacturing
2,Globex Corporation,"456 Oak St, Metropolis, IN",Technology
3,Soylent Corp,"789 Pine St, Gotham, NY",Food and Beverages
4,Initech,"101 Maple Ave, Smallville, KS",Software
5,Bluth Company,"102 Birch St, Hill Valley, CA",Real Estate
6,Umbrella Corp,"103 Cedar St, Sunnydale, CA",Pharmaceuticals
7,Hooli,"104 Palm St, Atlantis, FL",Technology
8,Vehement Capital,"105 Spruce St, Vice City, FL",Finance
9,Massive Dynamic,"106 Iron St, Star City, WA",Biotechnology
10,Wonka Industries,"107 Steel St, South Park, CO",Food Processing
11,Stark Industries,"108 Silver St, Central City, MO",Advanced Technology
12,Wayne Enterprises,"109 Gold St, Emerald City, MI",Conglomerate
13,Duff Brewing,"110 Copper St, Kings Landing, CA",Beverages
14,Gekko & Co,"111 Zinc St, Springfield, VT",Finance
15,Vandelay Industries,"112 Quartz St, Quahog, RI",Latex Manufacturing
16,Kwik-E-Mart,"113 Cobalt St, Twin Peaks, WA",Retail
17,Reynholm Industries,"114 Nickel St, Charming, CA",IT Services
18,Kruger Industrial,"115 Tin St, Eureka, NV",Smelting
19,Strickland Propane,"116 Lead St, Neptune, CA",Propane and Propane Accessories
20,Gringotts,"117 Mercury St, Gotham, NJ",Banking
21,Oscorp,"118 Platinum St, Metropolis, TX",Chemicals
22,Choam,"119 Diamond St, Pandora, AZ",Trade
23,Sirius Cybernetics,"120 Graphite St, Bon Temps, LA",Robotics
24,Harlington-Straker,"121 Silicon St, Silent Hill, ME",Film Studio
25,Nakatomi Trading,"122 Boron St, Cabot Cove, ME",Import/Export
26,Tyrell Corporation,"123 Argon St, Mystic Falls, VA",Biotech
27,Cyberdyne Systems,"124 Neon St, Twin Peaks, NV",Defense
28,Planet Express,"125 Helium St, New New York, NY",Delivery Services
29,Soylent Corporation,"126 Lithium St, Twin Peaks, WA",Food Production
30,Pierce & Pierce,"127 Krypton St, Smallville, TX",Investment Banking
31,Google LLC,"1600 Amphitheatre Parkway, Mountain View, CA",Technology
32,Apple Inc.,"1 Apple Park Way, Cupertino, CA",Technology
33,Microsoft Corporation,"One Microsoft Way, Redmond, WA",Technology
